period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2022-06-30,7970141000,1578283000.0,4690755000.0,0.1980244766058718,17.48699951171875,444273984.0,7769018941.28,1315073265.0
2022-09-30,7925589000,1533018000.0,4788665000.0,0.1934263813074334,23.54400062561035,444705984.0,10470157965.51,1307722185.0
2023-03-31,8161503000,1714317000.0,4803625000.0,0.2100491784417649,34.54800033569336,457060992.0,15790543305.05,1346647995.0
2023-06-30,8187301000,1827183000.0,4673470000.0,0.2231728136048741,44.04899978637695,444540992.0,19581586061.64,1350904665.0
2023-09-30,8541668000,1916394000.0,4930788000.0,0.2243582869294381,37.7599983215332,454504000.0,17162070277.13,1409375220.0
2024-03-31,9370440000,2632534000.0,4977073000.0,0.2809402760169213,60.733001708984375,432760000.0,26282813819.58,1546122600.0
2024-06-30,9559310000,2602837000.0,5174143000.0,0.2722829367391579,67.48799896240234,435115008.0,29365041208.43,1577286150.0
2024-09-30,9824703000,2909477000.0,5119884000.0,0.2961389265405784,70.927001953125,429164992.0,30439386225.8,1621075995.0
2025-03-31,10542801000,3346999000.0,5263147000.0,0.3174677203904351,93.25299835205078,427756992.0,39889622070.05,1739562165.0
2025-06-30,11079166000,3774694000.0,5325311000.0,0.3407019986883489,133.91299438476562,425571008.0,56989488004.62,1828062390.0
2025-09-30,11510307000,3248247000.0,6164250000.0,0.2822033330648782,119.89199829101562,426405686.0,51122629777.19,1899200655.0
