period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2017-05-31,5609625000,473795000,3910642000.0,0.0844610825144283,65.37483978271484,,,589010625.0,0,0.0844610825144283,,473794999.9999998,0.0,473794999.9999998,5135830000.0,,,0.0922528588368384,0.0,0.114686550177868,,,0.0,inf,,,0.0,,False,False,False,False,DG,N/A,Normal,Normal_Regime,Normal_Production
2017-08-31,5828305000,493146000,4037783000.0,0.0846122500452532,64.87635040283203,271564000.0,17618081220.79,611972025.0,0,0.0846122500452532,,493145999.99999946,0.0,493145999.99999946,5335159000.000001,11177804195.79,2.302259824082093,0.0924332339486038,0.0,0.1147054895646034,2.0951211005688863,,0.0,inf,,,0.0,0.0388114481982466,True,True,False,False,DG,N/A,Normal,Normal_Regime,Normal_Production
2017-11-30,5903606000,417431000,4137150000.0,0.0707078012997479,79.0049819946289,271564000.0,21454908930.39,619878630.0,0,0.0707078012997479,,417430999.99999946,0.0,417430999.99999946,5486175000.000001,14931424300.39,2.9107226675033147,0.0760878025217933,0.0,0.1129892192647882,2.7216456457167326,11177804195.79,0.0373446334081626,26.77760922353638,3753620104.5999994,0.3358101500841962,0.1000781312747859,0.0283058105672202,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2018-02-28,6129431000,623446000,,0.1017135195746554,85.0753402709961,,,643590255.0,0,0.1017135195746554,,623445999.9999996,0.0,623445999.9999996,5505985000.000001,,,0.1132306026986996,0.0,0.1168892132833634,,14931424300.39,0.0417539537727633,23.9498277322976,,,0.0,0.0036108946579356,False,False,True,False,DG,N/A,Normal,Normal_Regime,Normal_Production
2018-05-31,6114463000,490184000,,0.0801679558777279,78.9215316772461,,,642018615.0,0,0.0801679558777279,,490183999.99999976,0.0,490183999.99999976,5624279000.0,,,0.0871549935556183,0.0,0.1141512743233399,,,0.0,inf,,,0.0,0.0214846208262462,False,False,False,False,DG,N/A,Normal,Normal_Regime,Normal_Production
2018-08-31,6443309000,545476000,,0.084657743404825,97.47698974609376,,,676547445.0,0,0.084657743404825,,545475999.9999995,0.0,545475999.9999995,5897833000.0,,,0.0924875288940869,0.0,0.1147111905338791,,,0.0,inf,,,0.0,0.0486380565402249,False,False,False,False,DG,N/A,Normal,Normal_Regime,Normal_Production
2018-11-30,6417462000,442143000,,0.0688968629654527,100.70632934570312,265534000.0,26740954456.48,673833510.0,0,0.0688968629654527,,442143000.0,0.0,442143000.0,5975319000.0,19649658946.48,3.475234620357507,0.0739948779303665,0.0,0.1127694621826884,3.2884702802444523,,0.0,inf,,,0.0,0.0131380457873255,True,True,False,False,DG,N/A,Normal,Normal_Regime,Normal_Production
2019-02-28,6649809000,638503000,,0.0960182465391111,107.77153778076172,262884000.0,28331412937.96,698229945.0,0,0.0960182465391111,,638502999.9999999,0.0,638502999.9999999,6011306000.0,20983373992.96,3.7130212532784057,0.1062170183983313,0.0,0.1161527869318247,3.4906514479482493,19649658946.48,0.0324943553340593,30.774575759988604,1333715046.4799995,0.0678747173227105,0.3237486854658872,0.0060226073285793,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2019-05-31,6623185000,512237000,,0.0773399806890491,116.09878540039062,259178000.0,30090251002.5,695434425.0,0,0.0773399806890491,,512236999.9999997,0.0,512236999.9999997,6110948000.0,22771631577.5,3.9239906807421696,0.0838228373077302,0.0,0.1138013979173116,3.726366445517128,20983373992.96,0.0244115650882387,40.96419039030764,1788257584.540001,0.0852225950478682,0.2226638582165691,0.0165757657321055,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2019-08-31,6981753000,577775000,,0.0827550043663819,142.70425415039062,233399008.0,33307031356.08,733084065.0,0,0.0827550043663819,,577775000.0,0.0,577775000.0,6403978000.0,25592194291.08,4.200990908475951,0.0902212655946038,0.0,0.1144732328874334,3.9962964099939136,22771631577.5,0.0253725780708169,39.41262875254208,2820562713.580002,0.1238630048962727,0.170016946135509,0.0479516435093212,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2019-11-30,6991393000,491417000,,0.0702888537377315,144.15188598632812,257068000.0,37056837026.73,734096265.0,0,0.0702888537377315,,491416999.9999998,0.0,491416999.9999998,6499976000.0,29331347761.730003,4.701072900381479,0.0756028945337644,0.0,0.1129383039260452,4.512531701921669,25592194291.08,0.0192018314026038,52.078365809648446,3739153470.6500015,0.1461052314671298,0.1161585661813822,0.0149903700481168,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2020-01-31,7157642000,720875000,,0.1007140340352311,140.82342529296875,254600000.0,35853644079.59,751552410.0,0,0.1007140340352311,,720874999.9999996,0.0,720874999.9999996,6436767000.000001,27944449669.59,4.570132347433113,0.1119933345420145,0.0,0.1167593001269115,4.341379712764186,29331347761.730003,0.0245769477030496,40.68853512984917,-1386898092.140007,-0.0472838174163124,0.3420078767909977,-0.0097244974442981,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2020-05-31,8448449000,866784000,,0.1025968198423166,176.18853759765625,251515008.0,44314061443.38,887087145.0,0,0.1025968198423166,,866783999.9999998,0.0,866783999.9999998,7581665000.0,34978525298.38,4.844898375670779,0.1143263386076804,0.0,0.1170042655538064,4.613567771509292,27944449669.59,0.0310181095082813,32.23923107670424,7034075628.790001,0.2517163770251198,0.1097075559780253,0.1778684858407953,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2020-07-31,8684241000,1042627000,,0.1200596574876261,175.5007781982422,251722000.0,44177406889.62,911845305.0,0,0.1200596574876261,,1042626999.9999996,0.0,1042626999.9999996,7641614000.0,34581320584.62,4.781161792472115,0.1364406786315037,0.0,0.1193262712563078,4.525394842584302,34978525298.38,0.0298076317142017,33.548455294539664,-397204713.7599945,-0.0113556735274483,0.7241311536868922,0.0079071021998466,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2020-10-31,8199625000,773130000,,0.0942884583136424,192.7059631347656,249034000.0,47990336823.3,860960625.0,0,0.0942884583136424,,773130000.0,0.0,773130000.0,7426495000.0,38929751198.3,5.4620439148346565,0.1041042914591607,0.0,0.1159309506032118,5.242008672772284,34581320584.62,0.0223568674339131,44.72898553234256,4348430613.68,0.1257450710431792,0.1509559406433505,-0.0281509900918837,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2021-01-31,8414524000,872224000,,0.1036569626517198,179.9953155517578,245000992.0,44099030865.53,883525020.0,0,0.1036569626517198,,872223999.9999999,0.0,872223999.9999999,7542300000.000001,34800981845.53,4.846894298228657,0.1156442994842421,0.0,0.1171426514458454,4.614107347298568,38929751198.3,0.0224050751199788,44.632744797552014,-4128769352.770004,-0.1060569160007963,0.1744101498389081,0.0155934932966359,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2021-04-30,8400964000,908850000,,0.1081840131680126,199.0358428955078,239264000.0,47622111914.55,882101220.0,0,0.1081840131680126,,908849999.9999998,0.0,908849999.9999998,7492114000.0,38339046694.55,5.356298357786601,0.1213075508461296,0.0,0.1177372928388436,5.117253514101628,34800981845.53,0.026115642484861,38.291227205292415,3538064849.0200043,0.101665661754151,0.204377648517441,-0.0066539384537874,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2021-07-31,8650198000,849568000,,0.0982137056284723,216.0333251953125,236204992.0,51028149849.49,908270790.0,0,0.0982137056284723,,849567999.9999999,0.0,849567999.9999999,7800630000.0,41469681059.49,5.541542138197812,0.1089101777676931,0.0,0.1164355686656077,5.316196391764511,38339046694.55,0.0221593407569199,45.12769630512214,3130634364.939995,0.0816565521277038,0.2134484435976179,0.0411787647651917,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2021-10-31,8517839000,665588000,,0.0781404767101139,206.1209259033203,233310000.0,48090073222.5,894373095.0,0,0.0781404767101139,,665587999.9999999,0.0,665587999.9999999,7852251000.0,38677861127.5,5.124367805168225,0.0847639740502436,0.0,0.1139002172752755,4.925703613842706,41469681059.49,0.0160499908124488,62.30533161578935,-2791819931.989998,-0.0673219533081292,0.1925106938760634,0.0066175424292653,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2022-04-30,8751352000,746157000,,0.0852619115309268,221.95167541503903,228784992.0,50779212284.22,918891960.0,0,0.0852619115309268,,746156999.9999993,0.0,746156999.9999993,8005195000.000001,41108968324.22,5.343282366540727,0.0932090973424131,0.0,0.1147869552209533,5.13528631397736,38677861127.5,0.0192915786511648,51.836089626579984,2431107196.720001,0.0628552646359103,0.234842604769941,0.0194777268327261,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2022-07-31,9425713000,913426000,,0.0969078943948325,232.65821838378903,226996992.0,52812715737.2,989699865.0,0,0.0969078943948325,,913425999.9999998,0.0,913425999.9999998,8512287000.0,42397302872.2,5.204292188127585,0.1073067672647785,0.0,0.1162672105628017,4.9807182103000045,41108968324.22,0.0222196283982597,45.00525310667751,1288334547.9799955,0.0313395008558498,0.4148616437141732,0.0633453651035358,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2022-10-31,9464891000,735545000,,0.0777129921517321,239.40689086914065,225572000.0,54003491187.13,993813555.0,0,0.0777129921517321,,735544999.9999998,0.0,735544999.9999998,8729346000.0,43544786632.13,5.186430367994348,0.0842611806199456,0.0,0.1138474239650942,4.988321763409309,42397302872.2,0.0173488630212441,57.64066491132427,1147483759.9300003,0.0270650178712761,0.3906180381585584,0.0254994926745304,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2023-05-31,9342832000,740858000,,0.0792969412272424,189.70281982421875,222268992.0,42165054541.89,980997360.0,0,0.0792969412272424,,740857999.9999995,0.0,740857999.9999995,8601974000.0,31841225181.89,3.901788187442789,0.086126510031302,0.0,0.1140432835532867,3.701618393858201,43544786632.13,0.0170137014623318,58.77615768761358,-11703561450.239998,-0.2687706693596334,0.0595333517133827,-0.0145912420014053,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2023-08-31,9796181000,692314000,,0.0706718260922292,131.1139373779297,219340992.0,28758661089.5,1028599005.0,0,0.0706718260922292,,692314000.0,0.0,692314000.0,9103867000.0,17933881084.5,2.1589500472161998,0.0760461461047267,0.0,0.1129848453409963,1.9699190557704764,31841225181.89,0.0217426935064596,45.99246177585604,-13907344097.39,-0.4367716385894577,0.0474198776013642,0.0583462586610934,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2023-11-30,9694082000,433474000,,0.0447153221934784,124.8198013305664,219476000.0,27394950716.83,1017878610.0,0,0.0447153221934784,,433473999.99999946,0.0,433473999.99999946,9260608000.0,16682990106.830002,1.9582237707103036,0.0468083737050525,0.0,0.1099148792390305,1.80150051776622,17933881084.5,0.024170674376482,41.3724492922298,-1250890977.6699982,-0.0697501545692262,0.2573515869462147,0.0172169694482575,True,True,True,True,DG,C4,C4,Speculative_Regime,Partial_Absorption
2024-05-31,9914021000,546104000,,0.0550840067819101,131.38633728027344,239142000.0,31419991469.88,1040972205.0,0,0.0550840067819101,,546103999.9999992,0.0,546103999.9999992,9367917000.000002,20464998264.88,2.353999770693954,0.0582951364748427,0.0,0.1111209893298584,2.1845836448892526,16682990106.830002,0.0327341799343526,30.549108057860824,3782008158.0499954,0.2266984595586162,0.1261760278056295,0.0115876840915847,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2024-08-31,10210361000,549962000,,0.0538631298149007,79.98523712158203,219915008.0,17589954061.47,1072087905.0,0,0.0538631298149007,,549961999.9999993,0.0,549961999.9999993,9660399000.0,6307505156.470001,0.8208310093061375,0.0569295326207539,0.0,0.1109776009251791,0.6529238757602043,20464998264.88,0.0268732981494452,37.21165874165856,-14157493108.409996,-0.6917905843513158,0.0373934168723398,0.0312216685950568,False,True,True,False,DG,C4,Normal,Normal_Regime,Normal_Production
2024-11-30,10183428000,323802000,,0.0317969548171794,75.01530456542969,219915008.0,16496991303.63,1069259940.0,0,0.0317969548171794,,323801999.9999996,0.0,323801999.9999996,9859626000.0,5244303363.629999,0.6731863159545808,0.0328412051329329,0.0,0.1084483265389579,0.5318967842826897,6307505156.470001,0.0513359865695639,19.479512654245525,-1063201792.840002,-0.1685613830611632,0.2334543003209739,0.0206230612213842,False,True,True,False,DG,C4,Normal,Normal_Regime,Normal_Production
2025-05-31,10435979000,576113000,,0.0552044997407526,95.76647186279295,219947008.0,21063548952.94,1095777795.0,0,0.0552044997407526,,576112999.9999996,0.0,576112999.9999996,9859866000.0,9531792157.94,1.1362916040583106,0.0584301044253542,0.0,0.1111351609646622,0.9667263386682942,5244303363.629999,0.1098550102946802,9.102907526179765,4287488794.31,0.8175516359416493,0.1184539821237015,2.4341694096818856e-05,False,True,True,False,DG,C3,Normal,Normal_Regime,Normal_Production
2025-08-31,10727737000,595428000,,0.0555035978231009,107.64698791503906,226076000.0,24336400439.88,1126412385.0,0,0.0555035978231009,,595427999.999999,0.0,595427999.999999,10132309000.000002,12482251054.88,1.4018612578712313,0.058765282424766,0.0,0.1111703546546004,1.2319256207918647,9531792157.94,0.0624675811362511,16.008303536179042,2950458896.9400024,0.309538736058388,0.1679207536241035,0.0276315114221634,True,True,True,True,DG,C3,C3,Speculative_Regime,Accumulation_Phase
2025-10-31,10649450000,425851000,,0.0399880745015,98.24102020263672,220106028.0,21623440743.47,1118192250.0,0,0.0399880745015,,425850999.9999992,0.0,425850999.9999992,10223599000.0,9855798493.47,1.1150517291875397,0.0416537268333782,0.0,0.1093736413175047,0.9640243610366566,12482251054.88,0.0341165225829607,29.311310892495325,-2626452561.41,-0.2104149764223156,0.1395179055530371,0.0090097923385477,False,True,True,False,DG,C4,Normal,Normal_Regime,Normal_Production
