period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2014-03-31,2172000000,1285000000,0.5916206261510129,69.42655181884766,,,358380000.0,0,0.5916206261510129,,1285000000.0,0.0,1285000000.0,887000000.0000001,,,1.448703494926719,0.0,0.4040360766629086,,,0.0,inf,,,0.0,,False,False,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2014-06-30,2368000000,1383000000,0.5840371621621622,68.38758850097656,,,390720000.0,0,0.5840371621621622,,1383000000.0,0.0,1383000000.0,985000000.0,,,1.4040609137055835,0.0,0.3966700507614213,,,0.0,inf,,,0.0,0.1104847801578352,False,False,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2014-09-30,2490000000,1420000000,0.570281124497992,68.90526580810547,,,410850000.0,0,0.570281124497992,,1420000000.0,0.0,1420000000.0,1070000000.0,,,1.3271028037383177,0.0,0.3839719626168224,,,0.0,inf,,,0.0,0.0862944162436547,False,False,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2014-12-31,2411000000,1018000000,0.4222314392368312,80.4336166381836,,,397815000.0,0,0.4222314392368312,,1018000000.0,0.0,1018000000.0,1393000000.0,,,0.7307968413496052,0.0,0.2855814788226848,,,0.0,inf,,,0.0,0.3018691588785047,False,False,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2015-03-31,2230000000,1351000000,0.6058295964125561,80.80393981933594,,,367950000.0,0,0.6058295964125561,,1351000000.0,0.0,1351000000.0,879000000.0,,,1.5369738339021617,0.0,0.4186006825938566,,,0.0,inf,,,0.0,-0.3689877961234745,False,False,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2015-06-30,2390000000,1251000000,0.5234309623430963,87.59595489501953,,,394350000.0,0,0.5234309623430963,,1251000000.0,0.0,1251000000.0,1139000000.0,,,1.0983318700614575,0.0,0.3462247585601404,,,0.0,inf,,,0.0,0.2957906712172924,False,False,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2015-09-30,2530000000,1369000000,0.5411067193675889,84.59064483642578,1131420000.0,95707547380.83,417450000.0,0,0.5411067193675889,,1369000000.0,0.0,1369000000.0,1161000000.0,92760097380.83,81.43544132715762,1.1791559000861327,0.0,0.3595607235142118,79.89672470355728,,0.0,inf,,,0.0,0.0193151887620719,True,True,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2015-12-31,2517000000,1107000000,0.4398092967818832,91.5423812866211,,,415305000.0,0,0.4398092967818832,,1107000000.0,0.0,1107000000.0,1410000000.0,,,0.7851063829787234,0.0,0.2945425531914893,,92760097380.83,0.0119340107573968,83.79412590860886,,,0.0,0.2144702842377261,False,False,True,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2016-03-31,2446000000,1348000000,0.5511038430089943,89.03137969970703,1110740000.0,98890714687.65,403590000.0,0,0.5511038430089943,,1348000000.0,0.0,1348000000.0,1098000000.0,96041124687.65,89.06440317636611,1.2276867030965393,0.0,0.3675683060109289,87.46914816725865,,0.0,inf,,,0.0,-0.2212765957446808,True,True,False,False,MA,N/A,Normal,Normal_Regime,Normal_Production
2016-06-30,2694000000,1380000000,0.512249443207127,83.13146209716797,1098700000.0,91336537406.16,444510000.0,0,0.512249443207127,,1380000000.0,0.0,1380000000.0,1314000000.0,88198027406.16,68.51030244,1.0502283105022832,0.0,0.3382876712328767,67.12178645826484,96041124687.65,0.0143688446432516,69.59501788960145,-7843097281.48999,-0.0816639466374193,0.1496243569684067,0.1967213114754098,True,True,True,True,MA,C4,C4,Speculative_Regime,Partial_Absorption
