period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2024-03-31,172740000,-729915000,404796000,-1.0
2024-06-30,200581000,-787417000,470355000,-1.0
2024-09-30,200038000,-770538000,412544000,-1.0
2025-03-31,235048000,-691933000,463560000,-1.0
2025-06-30,259432000,-803047000,531783000,-1.0
2025-09-30,336580000,-942019000,670197000,-1.0
