period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2017-05-31,2742141000,337103000,0.1229342327765056,14.050000190734863,144119008.0,2024872089.89,287924805.0,0,0.1229342327765056,,337102999.9999998,0.0,337102999.9999998,2405038000.0,-1005193715.1099999,-0.15807064591495015,0.14016535289671092,0.0,0.11971736205415465,-0.4179533608658158,,,inf,,,,,False,False,False,False
2017-08-31,2936357000,168847000,0.0575022042619477,21.950000762939453,144119008.0,3163412335.55,308317485.0,0,0.0575022042619477,,168846999.99999997,0.0,168846999.99999997,2767510000.0,-81262149.44999981,0.14305362421454673,0.061010438986670315,0.0,0.11140609609360039,-0.029362910865723995,-1005193715.1099999,-0.16797458784501332,inf,923931565.6600001,0.9191577223091698,0.1545116323708475,0.15071362697803536,False,False,True,False
2017-11-30,2954539000,168847000,0.0571483402317586,47.09999847412109,140310000.0,6608600785.9,310226595.0,0,0.0571483402317586,,168846999.99999982,0.0,168846999.99999982,2785692000.0,3343835190.8999996,1.3723372095335735,0.060612228487571425,0.0,0.11136428399119501,1.200360697054807,-81262149.44999981,-2.077806225195785,inf,3425097340.3499994,42.14874161626065,0.04698097243864286,0.006569804625818909,True,True,True,True
2018-03-31,3716264000,337103000,0.0907101863592037,36.25,,,390207720.0,0,0.0907101863592037,,337102999.9999998,0.0,337102999.9999998,3379161000.0000005,,,0.09975937814149718,0.0,0.1154747347048572,,3343835190.8999996,0.10081328198154045,9.919327893551827,,,,0.2130418581810194,False,False,True,False
2018-06-30,2753667000,81229000,0.0294984832951842,33.650001525878906,,,289135035.0,0,0.0294984832951842,,81228999.99999999,0.0,81228999.99999999,2672438000.0,,,0.030395092421227354,0.0,0.10819148470422887,,,,inf,,,,-0.2091415591029846,False,False,False,False
2018-09-30,2935018000,78858000,0.0268679783224498,27.700000762939453,,,308176890.0,0,0.0268679783224498,,78857999.99999997,0.0,78857999.99999997,2856160000.0,,,0.027609797770433018,0.0,0.10789902876589547,,,,inf,,,,0.06874696438233552,False,False,False,False
2018-12-31,3032231000,49513000,0.0163289010632765,13.579999923706056,138050000.0,1874718989.47,318384255.0,0,0.0163289010632765,,49512999.99999996,0.0,49512999.99999996,2982718000.0,-1475896265.53,-0.37147293526575426,0.016599960170555837,0.0,0.10674299581790836,-0.49481589125421843,,,inf,,,,0.0443105428267323,False,False,False,False
2019-03-31,3307881000,-296735000,-0.089705464011553,16.6200008392334,137472000.0,2284784755.37,347327505.0,0,-0.089705464011553,,0.0,0.0,0.0,3307881000.0,-1370423749.63,-0.30929052303574406,0.0,0.0,0.105,-0.41429052303574404,-1475896265.53,-0.0,inf,105472515.89999986,0.07146336660871234,0.0,0.10901566960067965,False,False,True,False
2019-06-30,2572989000,-406842000,-0.1581203806156964,13.600000381469728,132089000.0,1796410450.39,270163845.0,0,-0.1581203806156964,,0.0,0.0,0.0,2572989000.0,-1046742394.6099999,-0.30181961508968747,0.0,0.0,0.105,-0.4068196150896875,-1370423749.63,-0.0,inf,323681355.0200002,0.23619070751465798,0.0,-0.22216397748286587,False,False,True,False
2019-08-31,2719447000,-182258000,-0.0670202434539081,15.729999542236328,115104000.0,1810585867.31,285541935.0,0,-0.0670202434539081,,0.0,0.0,0.0,2719447000.0,-1194403067.69,-0.33420806976197737,0.0,0.0,0.105,-0.43920806976197735,-1046742394.6099999,-0.0,inf,-147660673.08000016,-0.14106686978606256,0.0,0.05692134711807939,False,False,True,False
